2026-01-15T02:30:37.308+0000	connected to: mongodb://localhost/
2026-01-15T02:32:43.310+0000	cds502_wikirank.articles	640MB
2026-01-15T02:32:46.309+0000	cds502_wikirank.articles	654MB
2026-01-15T02:32:49.308+0000	cds502_wikirank.articles	668MB
2026-01-15T02:32:52.309+0000	cds502_wikirank.articles	683MB
2026-01-15T02:32:55.309+0000	cds502_wikirank.articles	698MB
2026-01-15T02:32:58.309+0000	cds502_wikirank.articles	715MB
2026-01-15T02:33:01.309+0000	cds502_wikirank.articles	730MB
2026-01-15T02:33:04.308+0000	cds502_wikirank.articles	746MB
2026-01-15T02:33:07.308+0000	cds502_wikirank.articles	760MB
2026-01-15T02:33:10.309+0000	cds502_wikirank.articles	774MB
2026-01-15T02:33:13.308+0000	cds502_wikirank.articles	788MB
2026-01-15T02:33:16.309+0000	cds502_wikirank.articles	803MB
2026-01-15T02:33:19.309+0000	cds502_wikirank.articles	816MB
2026-01-15T02:33:22.308+0000	cds502_wikirank.articles	828MB
2026-01-15T02:33:25.308+0000	cds502_wikirank.articles	841MB
2026-01-15T02:33:28.310+0000	cds502_wikirank.articles	855MB
2026-01-15T02:33:31.308+0000	cds502_wikirank.articles	869MB
2026-01-15T02:33:34.314+0000	cds502_wikirank.articles	881MB
2026-01-15T02:33:37.308+0000	cds502_wikirank.articles	892MB
2026-01-15T02:33:40.308+0000	cds502_wikirank.articles	907MB
2026-01-15T02:33:43.308+0000	cds502_wikirank.articles	920MB
2026-01-15T02:33:46.309+0000	cds502_wikirank.articles	934MB
2026-01-15T02:33:49.308+0000	cds502_wikirank.articles	946MB
2026-01-15T02:33:52.308+0000	cds502_wikirank.articles	963MB
2026-01-15T02:33:55.312+0000	cds502_wikirank.articles	981MB
2026-01-15T02:33:58.309+0000	cds502_wikirank.articles	996MB
2026-01-15T02:34:01.314+0000	cds502_wikirank.articles	1013MB
2026-01-15T02:34:04.308+0000	cds502_wikirank.articles	1.00GB
2026-01-15T02:34:07.308+0000	cds502_wikirank.articles	1.02GB
2026-01-15T02:34:10.308+0000	cds502_wikirank.articles	1.03GB
2026-01-15T02:34:13.308+0000	cds502_wikirank.articles	1.05GB
2026-01-15T02:34:16.309+0000	cds502_wikirank.articles	1.06GB
2026-01-15T02:34:19.311+0000	cds502_wikirank.articles	1.08GB
2026-01-15T02:34:22.310+0000	cds502_wikirank.articles	1.09GB
2026-01-15T02:34:25.309+0000	cds502_wikirank.articles	1.11GB
2026-01-15T02:34:28.308+0000	cds502_wikirank.articles	1.12GB
2026-01-15T02:34:31.309+0000	cds502_wikirank.articles	1.13GB
2026-01-15T02:34:34.309+0000	cds502_wikirank.articles	1.15GB
2026-01-15T02:34:37.309+0000	cds502_wikirank.articles	1.16GB
2026-01-15T02:34:40.308+0000	cds502_wikirank.articles	1.17GB
2026-01-15T02:34:43.308+0000	cds502_wikirank.articles	1.19GB
2026-01-15T02:34:46.313+0000	cds502_wikirank.articles	1.20GB
2026-01-15T02:34:49.310+0000	cds502_wikirank.articles	1.22GB
2026-01-15T02:34:52.309+0000	cds502_wikirank.articles	1.23GB
2026-01-15T02:34:55.309+0000	cds502_wikirank.articles	1.24GB
2026-01-15T02:34:58.308+0000	cds502_wikirank.articles	1.26GB
2026-01-15T02:35:01.308+0000	cds502_wikirank.articles	1.27GB
2026-01-15T02:35:04.308+0000	cds502_wikirank.articles	1.29GB
2026-01-15T02:35:07.309+0000	cds502_wikirank.articles	1.30GB
2026-01-15T02:35:10.309+0000	cds502_wikirank.articles	1.31GB
2026-01-15T02:35:13.308+0000	cds502_wikirank.articles	1.33GB
2026-01-15T02:35:16.308+0000	cds502_wikirank.articles	1.34GB
2026-01-15T02:35:19.308+0000	cds502_wikirank.articles	1.36GB
2026-01-15T02:35:22.310+0000	cds502_wikirank.articles	1.37GB
2026-01-15T02:35:25.308+0000	cds502_wikirank.articles	1.38GB
2026-01-15T02:35:28.309+0000	cds502_wikirank.articles	1.40GB
2026-01-15T02:35:31.312+0000	cds502_wikirank.articles	1.41GB
2026-01-15T02:35:34.309+0000	cds502_wikirank.articles	1.42GB
2026-01-15T02:35:37.308+0000	cds502_wikirank.articles	1.44GB
2026-01-15T02:35:40.308+0000	cds502_wikirank.articles	1.45GB
2026-01-15T02:35:43.308+0000	cds502_wikirank.articles	1.46GB
2026-01-15T02:35:46.309+0000	cds502_wikirank.articles	1.48GB
2026-01-15T02:35:49.308+0000	cds502_wikirank.articles	1.49GB
2026-01-15T02:35:52.309+0000	cds502_wikirank.articles	1.50GB
2026-01-15T02:35:55.312+0000	cds502_wikirank.articles	1.52GB
2026-01-15T02:35:58.308+0000	cds502_wikirank.articles	1.53GB
2026-01-15T02:36:01.308+0000	cds502_wikirank.articles	1.55GB
2026-01-15T02:36:04.309+0000	cds502_wikirank.articles	1.56GB
2026-01-15T02:36:07.311+0000	cds502_wikirank.articles	1.57GB
2026-01-15T02:36:10.310+0000	cds502_wikirank.articles	1.59GB
2026-01-15T02:36:13.310+0000	cds502_wikirank.articles	1.60GB
2026-01-15T02:36:16.310+0000	cds502_wikirank.articles	1.61GB
2026-01-15T02:36:19.310+0000	cds502_wikirank.articles	1.62GB
2026-01-15T02:36:22.308+0000	cds502_wikirank.articles	1.63GB
2026-01-15T02:36:25.310+0000	cds502_wikirank.articles	1.64GB
2026-01-15T02:36:28.320+0000	cds502_wikirank.articles	1.66GB
2026-01-15T02:36:31.313+0000	cds502_wikirank.articles	1.67GB
2026-01-15T02:36:34.317+0000	cds502_wikirank.articles	1.68GB
2026-01-15T02:36:37.308+0000	cds502_wikirank.articles	1.69GB
2026-01-15T02:36:40.309+0000	cds502_wikirank.articles	1.70GB
2026-01-15T02:36:43.308+0000	cds502_wikirank.articles	1.71GB
2026-01-15T02:36:46.310+0000	cds502_wikirank.articles	1.72GB
2026-01-15T02:36:49.308+0000	cds502_wikirank.articles	1.74GB
2026-01-15T02:36:52.312+0000	cds502_wikirank.articles	1.75GB
2026-01-15T02:36:55.309+0000	cds502_wikirank.articles	1.76GB
2026-01-15T02:36:58.308+0000	cds502_wikirank.articles	1.77GB
2026-01-15T02:37:01.309+0000	cds502_wikirank.articles	1.77GB
2026-01-15T02:37:04.309+0000	cds502_wikirank.articles	1.79GB
2026-01-15T02:37:07.309+0000	cds502_wikirank.articles	1.80GB
2026-01-15T02:37:10.308+0000	cds502_wikirank.articles	1.81GB
2026-01-15T02:37:13.308+0000	cds502_wikirank.articles	1.82GB
2026-01-15T02:37:16.308+0000	cds502_wikirank.articles	1.83GB
2026-01-15T02:37:19.309+0000	cds502_wikirank.articles	1.83GB
2026-01-15T02:37:22.311+0000	cds502_wikirank.articles	1.84GB
2026-01-15T02:37:25.309+0000	cds502_wikirank.articles	1.85GB
2026-01-15T02:37:28.308+0000	cds502_wikirank.articles	1.86GB
2026-01-15T02:37:31.308+0000	cds502_wikirank.articles	1.87GB
2026-01-15T02:37:34.308+0000	cds502_wikirank.articles	1.88GB
2026-01-15T02:37:37.308+0000	cds502_wikirank.articles	1.89GB
2026-01-15T02:37:40.312+0000	cds502_wikirank.articles	1.90GB
2026-01-15T02:37:43.317+0000	cds502_wikirank.articles	1.91GB
2026-01-15T02:37:46.308+0000	cds502_wikirank.articles	1.92GB
2026-01-15T02:37:49.308+0000	cds502_wikirank.articles	1.93GB
2026-01-15T02:37:52.308+0000	cds502_wikirank.articles	1.95GB
2026-01-15T02:37:55.310+0000	cds502_wikirank.articles	1.96GB
2026-01-15T02:37:58.308+0000	cds502_wikirank.articles	1.98GB
2026-01-15T02:38:01.310+0000	cds502_wikirank.articles	1.99GB
2026-01-15T02:38:04.308+0000	cds502_wikirank.articles	2.01GB
2026-01-15T02:38:07.309+0000	cds502_wikirank.articles	2.02GB
2026-01-15T02:38:10.308+0000	cds502_wikirank.articles	2.04GB
2026-01-15T02:38:13.309+0000	cds502_wikirank.articles	2.05GB
2026-01-15T02:38:16.309+0000	cds502_wikirank.articles	2.07GB
2026-01-15T02:38:19.308+0000	cds502_wikirank.articles	2.08GB
2026-01-15T02:38:22.309+0000	cds502_wikirank.articles	2.10GB
2026-01-15T02:38:25.309+0000	cds502_wikirank.articles	2.11GB
2026-01-15T02:38:28.309+0000	cds502_wikirank.articles	2.12GB
2026-01-15T02:38:31.310+0000	cds502_wikirank.articles	2.13GB
2026-01-15T02:38:34.309+0000	cds502_wikirank.articles	2.14GB
2026-01-15T02:38:37.310+0000	cds502_wikirank.articles	2.16GB
2026-01-15T02:38:40.310+0000	cds502_wikirank.articles	2.17GB
2026-01-15T02:38:43.309+0000	cds502_wikirank.articles	2.18GB
2026-01-15T02:38:46.319+0000	cds502_wikirank.articles	2.19GB
2026-01-15T02:38:49.308+0000	cds502_wikirank.articles	2.20GB
2026-01-15T02:38:52.308+0000	cds502_wikirank.articles	2.22GB
2026-01-15T02:38:55.313+0000	cds502_wikirank.articles	2.23GB
2026-01-15T02:38:58.308+0000	cds502_wikirank.articles	2.24GB
2026-01-15T02:39:01.314+0000	cds502_wikirank.articles	2.26GB
2026-01-15T02:39:04.308+0000	cds502_wikirank.articles	2.27GB
2026-01-15T02:39:07.308+0000	cds502_wikirank.articles	2.29GB
2026-01-15T02:39:10.309+0000	cds502_wikirank.articles	2.30GB
2026-01-15T02:39:13.309+0000	cds502_wikirank.articles	2.32GB
2026-01-15T02:39:16.308+0000	cds502_wikirank.articles	2.34GB
2026-01-15T02:39:19.308+0000	cds502_wikirank.articles	2.35GB
2026-01-15T02:39:22.308+0000	cds502_wikirank.articles	2.37GB
2026-01-15T02:39:25.308+0000	cds502_wikirank.articles	2.38GB
2026-01-15T02:39:28.310+0000	cds502_wikirank.articles	2.40GB
2026-01-15T02:39:31.308+0000	cds502_wikirank.articles	2.42GB
2026-01-15T02:39:34.317+0000	cds502_wikirank.articles	2.43GB
2026-01-15T02:39:37.310+0000	cds502_wikirank.articles	2.45GB
2026-01-15T02:39:40.308+0000	cds502_wikirank.articles	2.46GB
2026-01-15T02:39:43.308+0000	cds502_wikirank.articles	2.47GB
2026-01-15T02:39:46.311+0000	cds502_wikirank.articles	2.49GB
2026-01-15T02:39:49.308+0000	cds502_wikirank.articles	2.50GB
2026-01-15T02:39:52.308+0000	cds502_wikirank.articles	2.52GB
2026-01-15T02:39:55.308+0000	cds502_wikirank.articles	2.54GB
2026-01-15T02:39:58.312+0000	cds502_wikirank.articles	2.55GB
2026-01-15T02:40:01.308+0000	cds502_wikirank.articles	2.57GB
2026-01-15T02:40:04.308+0000	cds502_wikirank.articles	2.58GB
2026-01-15T02:40:07.308+0000	cds502_wikirank.articles	2.60GB
2026-01-15T02:40:10.308+0000	cds502_wikirank.articles	2.61GB
2026-01-15T02:40:13.308+0000	cds502_wikirank.articles	2.63GB
2026-01-15T02:40:16.309+0000	cds502_wikirank.articles	2.64GB
2026-01-15T02:40:19.309+0000	cds502_wikirank.articles	2.66GB
2026-01-15T02:40:22.317+0000	cds502_wikirank.articles	2.67GB
2026-01-15T02:40:25.309+0000	cds502_wikirank.articles	2.69GB
2026-01-15T02:40:28.308+0000	cds502_wikirank.articles	2.70GB
2026-01-15T02:40:31.309+0000	cds502_wikirank.articles	2.71GB
2026-01-15T02:40:34.310+0000	cds502_wikirank.articles	2.72GB
2026-01-15T02:40:37.308+0000	cds502_wikirank.articles	2.74GB
2026-01-15T02:40:40.308+0000	cds502_wikirank.articles	2.75GB
2026-01-15T02:40:43.308+0000	cds502_wikirank.articles	2.76GB
2026-01-15T02:40:46.308+0000	cds502_wikirank.articles	2.78GB
2026-01-15T02:40:49.308+0000	cds502_wikirank.articles	2.79GB
2026-01-15T02:40:52.308+0000	cds502_wikirank.articles	2.81GB
2026-01-15T02:40:55.310+0000	cds502_wikirank.articles	2.82GB
2026-01-15T02:40:58.308+0000	cds502_wikirank.articles	2.84GB
2026-01-15T02:41:01.309+0000	cds502_wikirank.articles	2.85GB
2026-01-15T02:41:04.308+0000	cds502_wikirank.articles	2.86GB
2026-01-15T02:41:07.308+0000	cds502_wikirank.articles	2.88GB
2026-01-15T02:41:10.308+0000	cds502_wikirank.articles	2.89GB
2026-01-15T02:41:13.315+0000	cds502_wikirank.articles	2.91GB
2026-01-15T02:41:16.308+0000	cds502_wikirank.articles	2.92GB
2026-01-15T02:41:19.308+0000	cds502_wikirank.articles	2.93GB
2026-01-15T02:41:22.309+0000	cds502_wikirank.articles	2.95GB
2026-01-15T02:41:25.308+0000	cds502_wikirank.articles	2.96GB
2026-01-15T02:41:28.308+0000	cds502_wikirank.articles	2.98GB
2026-01-15T02:41:31.310+0000	cds502_wikirank.articles	2.99GB
2026-01-15T02:41:34.310+0000	cds502_wikirank.articles	3.00GB
2026-01-15T02:41:37.308+0000	cds502_wikirank.articles	3.02GB
2026-01-15T02:41:40.308+0000	cds502_wikirank.articles	3.04GB
2026-01-15T02:41:43.308+0000	cds502_wikirank.articles	3.05GB
2026-01-15T02:41:46.308+0000	cds502_wikirank.articles	3.07GB
2026-01-15T02:41:49.308+0000	cds502_wikirank.articles	3.09GB
2026-01-15T02:41:52.309+0000	cds502_wikirank.articles	3.10GB
2026-01-15T02:41:55.308+0000	cds502_wikirank.articles	3.12GB
2026-01-15T02:41:58.309+0000	cds502_wikirank.articles	3.13GB
2026-01-15T02:42:01.309+0000	cds502_wikirank.articles	3.15GB
2026-01-15T02:42:04.308+0000	cds502_wikirank.articles	3.16GB
2026-01-15T02:42:07.308+0000	cds502_wikirank.articles	3.18GB
2026-01-15T02:42:10.308+0000	cds502_wikirank.articles	3.20GB
2026-01-15T02:42:13.308+0000	cds502_wikirank.articles	3.22GB
2026-01-15T02:42:16.309+0000	cds502_wikirank.articles	3.23GB
2026-01-15T02:42:19.308+0000	cds502_wikirank.articles	3.25GB
2026-01-15T02:42:22.310+0000	cds502_wikirank.articles	3.27GB
2026-01-15T02:42:25.308+0000	cds502_wikirank.articles	3.28GB
2026-01-15T02:42:28.308+0000	cds502_wikirank.articles	3.30GB
2026-01-15T02:42:31.308+0000	cds502_wikirank.articles	3.31GB
2026-01-15T02:42:34.309+0000	cds502_wikirank.articles	3.33GB
2026-01-15T02:42:37.308+0000	cds502_wikirank.articles	3.34GB
2026-01-15T02:42:40.308+0000	cds502_wikirank.articles	3.36GB
2026-01-15T02:42:43.308+0000	cds502_wikirank.articles	3.37GB
2026-01-15T02:42:46.308+0000	cds502_wikirank.articles	3.39GB
2026-01-15T02:42:49.308+0000	cds502_wikirank.articles	3.40GB
2026-01-15T02:42:52.308+0000	cds502_wikirank.articles	3.42GB
2026-01-15T02:42:55.308+0000	cds502_wikirank.articles	3.44GB
2026-01-15T02:42:58.308+0000	cds502_wikirank.articles	3.45GB
2026-01-15T02:43:01.309+0000	cds502_wikirank.articles	3.47GB
2026-01-15T02:43:04.308+0000	cds502_wikirank.articles	3.48GB
2026-01-15T02:43:07.308+0000	cds502_wikirank.articles	3.50GB
2026-01-15T02:43:10.310+0000	cds502_wikirank.articles	3.51GB
2026-01-15T02:43:13.308+0000	cds502_wikirank.articles	3.52GB
2026-01-15T02:43:16.308+0000	cds502_wikirank.articles	3.54GB
2026-01-15T02:43:19.310+0000	cds502_wikirank.articles	3.55GB
2026-01-15T02:43:22.308+0000	cds502_wikirank.articles	3.57GB
2026-01-15T02:43:25.308+0000	cds502_wikirank.articles	3.58GB
2026-01-15T02:43:28.308+0000	cds502_wikirank.articles	3.60GB
2026-01-15T02:43:31.308+0000	cds502_wikirank.articles	3.61GB
2026-01-15T02:43:34.309+0000	cds502_wikirank.articles	3.63GB
2026-01-15T02:43:37.309+0000	cds502_wikirank.articles	3.65GB
2026-01-15T02:43:40.309+0000	cds502_wikirank.articles	3.66GB
2026-01-15T02:43:43.309+0000	cds502_wikirank.articles	3.68GB
2026-01-15T02:43:46.308+0000	cds502_wikirank.articles	3.69GB
2026-01-15T02:43:49.308+0000	cds502_wikirank.articles	3.71GB
2026-01-15T02:43:52.308+0000	cds502_wikirank.articles	3.72GB
2026-01-15T02:43:55.319+0000	cds502_wikirank.articles	3.74GB
2026-01-15T02:43:58.308+0000	cds502_wikirank.articles	3.75GB
2026-01-15T02:44:01.309+0000	cds502_wikirank.articles	3.77GB
2026-01-15T02:44:04.308+0000	cds502_wikirank.articles	3.79GB
2026-01-15T02:44:07.308+0000	cds502_wikirank.articles	3.81GB
2026-01-15T02:44:10.308+0000	cds502_wikirank.articles	3.82GB
2026-01-15T02:44:13.310+0000	cds502_wikirank.articles	3.84GB
2026-01-15T02:44:16.308+0000	cds502_wikirank.articles	3.85GB
2026-01-15T02:44:19.312+0000	cds502_wikirank.articles	3.87GB
2026-01-15T02:44:22.308+0000	cds502_wikirank.articles	3.88GB
2026-01-15T02:44:25.310+0000	cds502_wikirank.articles	3.90GB
2026-01-15T02:44:28.309+0000	cds502_wikirank.articles	3.91GB
2026-01-15T02:44:31.309+0000	cds502_wikirank.articles	3.93GB
2026-01-15T02:44:34.308+0000	cds502_wikirank.articles	3.95GB
2026-01-15T02:44:37.308+0000	cds502_wikirank.articles	3.96GB
2026-01-15T02:44:40.309+0000	cds502_wikirank.articles	3.98GB
2026-01-15T02:44:43.310+0000	cds502_wikirank.articles	4.00GB
2026-01-15T02:44:46.308+0000	cds502_wikirank.articles	4.01GB
2026-01-15T02:44:49.309+0000	cds502_wikirank.articles	4.03GB
2026-01-15T02:44:52.308+0000	cds502_wikirank.articles	4.04GB
2026-01-15T02:44:55.311+0000	cds502_wikirank.articles	4.06GB
2026-01-15T02:44:58.308+0000	cds502_wikirank.articles	4.08GB
2026-01-15T02:45:01.309+0000	cds502_wikirank.articles	4.09GB
2026-01-15T02:45:04.308+0000	cds502_wikirank.articles	4.11GB
2026-01-15T02:45:07.308+0000	cds502_wikirank.articles	4.12GB
2026-01-15T02:45:10.309+0000	cds502_wikirank.articles	4.14GB
2026-01-15T02:45:13.309+0000	cds502_wikirank.articles	4.15GB
2026-01-15T02:45:16.308+0000	cds502_wikirank.articles	4.17GB
2026-01-15T02:45:19.309+0000	cds502_wikirank.articles	4.18GB
2026-01-15T02:45:22.309+0000	cds502_wikirank.articles	4.20GB
2026-01-15T02:45:25.309+0000	cds502_wikirank.articles	4.21GB
2026-01-15T02:45:28.310+0000	cds502_wikirank.articles	4.23GB
2026-01-15T02:45:31.309+0000	cds502_wikirank.articles	4.24GB
2026-01-15T02:45:34.313+0000	cds502_wikirank.articles	4.26GB
2026-01-15T02:45:37.308+0000	cds502_wikirank.articles	4.27GB
2026-01-15T02:45:40.309+0000	cds502_wikirank.articles	4.29GB
2026-01-15T02:45:43.309+0000	cds502_wikirank.articles	4.30GB
2026-01-15T02:45:46.308+0000	cds502_wikirank.articles	4.32GB
2026-01-15T02:45:49.308+0000	cds502_wikirank.articles	4.33GB
2026-01-15T02:45:52.320+0000	cds502_wikirank.articles	4.35GB
2026-01-15T02:45:55.308+0000	cds502_wikirank.articles	4.36GB
2026-01-15T02:45:58.308+0000	cds502_wikirank.articles	4.38GB
2026-01-15T02:46:01.308+0000	cds502_wikirank.articles	4.39GB
2026-01-15T02:46:04.309+0000	cds502_wikirank.articles	4.41GB
2026-01-15T02:46:07.309+0000	cds502_wikirank.articles	4.42GB
2026-01-15T02:46:10.311+0000	cds502_wikirank.articles	4.44GB
2026-01-15T02:46:13.308+0000	cds502_wikirank.articles	4.46GB
2026-01-15T02:46:16.308+0000	cds502_wikirank.articles	4.47GB
2026-01-15T02:46:19.308+0000	cds502_wikirank.articles	4.49GB
2026-01-15T02:46:22.309+0000	cds502_wikirank.articles	4.50GB
2026-01-15T02:46:25.309+0000	cds502_wikirank.articles	4.52GB
2026-01-15T02:46:28.310+0000	cds502_wikirank.articles	4.53GB
2026-01-15T02:46:31.308+0000	cds502_wikirank.articles	4.55GB
2026-01-15T02:46:34.310+0000	cds502_wikirank.articles	4.56GB
2026-01-15T02:46:37.308+0000	cds502_wikirank.articles	4.58GB
2026-01-15T02:46:40.309+0000	cds502_wikirank.articles	4.59GB
2026-01-15T02:46:43.308+0000	cds502_wikirank.articles	4.61GB
2026-01-15T02:46:46.308+0000	cds502_wikirank.articles	4.62GB
2026-01-15T02:46:49.315+0000	cds502_wikirank.articles	4.64GB
2026-01-15T02:46:52.309+0000	cds502_wikirank.articles	4.65GB
2026-01-15T02:46:55.309+0000	cds502_wikirank.articles	4.67GB
2026-01-15T02:46:58.308+0000	cds502_wikirank.articles	4.68GB
2026-01-15T02:47:01.308+0000	cds502_wikirank.articles	4.70GB
2026-01-15T02:47:04.310+0000	cds502_wikirank.articles	4.72GB
2026-01-15T02:47:07.309+0000	cds502_wikirank.articles	4.73GB
2026-01-15T02:47:10.308+0000	cds502_wikirank.articles	4.75GB
2026-01-15T02:47:13.309+0000	cds502_wikirank.articles	4.76GB
2026-01-15T02:47:16.309+0000	cds502_wikirank.articles	4.78GB
2026-01-15T02:47:19.308+0000	cds502_wikirank.articles	4.79GB
2026-01-15T02:47:22.308+0000	cds502_wikirank.articles	4.81GB
2026-01-15T02:47:25.308+0000	cds502_wikirank.articles	4.83GB
2026-01-15T02:47:28.308+0000	cds502_wikirank.articles	4.84GB
2026-01-15T02:47:31.309+0000	cds502_wikirank.articles	4.86GB
2026-01-15T02:47:34.308+0000	cds502_wikirank.articles	4.87GB
2026-01-15T02:47:37.309+0000	cds502_wikirank.articles	4.89GB
2026-01-15T02:47:40.308+0000	cds502_wikirank.articles	4.91GB
2026-01-15T02:47:43.312+0000	cds502_wikirank.articles	4.92GB
2026-01-15T02:47:46.309+0000	cds502_wikirank.articles	4.94GB
2026-01-15T02:47:49.310+0000	cds502_wikirank.articles	4.96GB
2026-01-15T02:47:52.308+0000	cds502_wikirank.articles	4.97GB
2026-01-15T02:47:55.311+0000	cds502_wikirank.articles	4.99GB
2026-01-15T02:47:58.309+0000	cds502_wikirank.articles	5.00GB
2026-01-15T02:48:01.308+0000	cds502_wikirank.articles	5.02GB
2026-01-15T02:48:04.308+0000	cds502_wikirank.articles	5.03GB
2026-01-15T02:48:07.308+0000	cds502_wikirank.articles	5.05GB
2026-01-15T02:48:10.310+0000	cds502_wikirank.articles	5.06GB
2026-01-15T02:48:13.308+0000	cds502_wikirank.articles	5.08GB
2026-01-15T02:48:16.310+0000	cds502_wikirank.articles	5.10GB
2026-01-15T02:48:19.308+0000	cds502_wikirank.articles	5.11GB
2026-01-15T02:48:22.308+0000	cds502_wikirank.articles	5.13GB
2026-01-15T02:48:25.308+0000	cds502_wikirank.articles	5.14GB
2026-01-15T02:48:28.308+0000	cds502_wikirank.articles	5.16GB
2026-01-15T02:48:31.310+0000	cds502_wikirank.articles	5.17GB
2026-01-15T02:48:34.309+0000	cds502_wikirank.articles	5.19GB
2026-01-15T02:48:37.309+0000	cds502_wikirank.articles	5.20GB
2026-01-15T02:48:40.310+0000	cds502_wikirank.articles	5.22GB
2026-01-15T02:48:43.309+0000	cds502_wikirank.articles	5.23GB
2026-01-15T02:48:46.308+0000	cds502_wikirank.articles	5.25GB
2026-01-15T02:48:49.310+0000	cds502_wikirank.articles	5.27GB
2026-01-15T02:48:52.309+0000	cds502_wikirank.articles	5.28GB
2026-01-15T02:48:55.308+0000	cds502_wikirank.articles	5.30GB
2026-01-15T02:48:58.308+0000	cds502_wikirank.articles	5.31GB
2026-01-15T02:49:01.310+0000	cds502_wikirank.articles	5.33GB
2026-01-15T02:49:04.310+0000	cds502_wikirank.articles	5.35GB
2026-01-15T02:49:07.309+0000	cds502_wikirank.articles	5.36GB
2026-01-15T02:49:10.308+0000	cds502_wikirank.articles	5.38GB
2026-01-15T02:49:13.308+0000	cds502_wikirank.articles	5.40GB
2026-01-15T02:49:16.310+0000	cds502_wikirank.articles	5.42GB
2026-01-15T02:49:19.308+0000	cds502_wikirank.articles	5.43GB
2026-01-15T02:49:22.308+0000	cds502_wikirank.articles	5.45GB
2026-01-15T02:49:25.308+0000	cds502_wikirank.articles	5.46GB
2026-01-15T02:49:28.309+0000	cds502_wikirank.articles	5.48GB
2026-01-15T02:49:31.308+0000	cds502_wikirank.articles	5.49GB
2026-01-15T02:49:34.309+0000	cds502_wikirank.articles	5.51GB
2026-01-15T02:49:37.308+0000	cds502_wikirank.articles	5.52GB
2026-01-15T02:49:40.308+0000	cds502_wikirank.articles	5.54GB
2026-01-15T02:49:43.308+0000	cds502_wikirank.articles	5.56GB
2026-01-15T02:49:46.308+0000	cds502_wikirank.articles	5.57GB
2026-01-15T02:49:49.308+0000	cds502_wikirank.articles	5.59GB
2026-01-15T02:49:52.308+0000	cds502_wikirank.articles	5.60GB
2026-01-15T02:49:55.312+0000	cds502_wikirank.articles	5.62GB
2026-01-15T02:49:58.311+0000	cds502_wikirank.articles	5.63GB
2026-01-15T02:50:01.310+0000	cds502_wikirank.articles	5.65GB
2026-01-15T02:50:04.311+0000	cds502_wikirank.articles	5.66GB
2026-01-15T02:50:07.308+0000	cds502_wikirank.articles	5.68GB
