2026-01-15T03:56:39.229+0000	connected to: mongodb://localhost/
2026-01-15T03:56:39.230+0000	dropping: cds502_wikirank.articles
2026-01-15T03:58:45.230+0000	cds502_wikirank.articles	1009MB
2026-01-15T03:58:48.230+0000	cds502_wikirank.articles	1.01GB
2026-01-15T03:58:51.230+0000	cds502_wikirank.articles	1.03GB
2026-01-15T03:58:54.236+0000	cds502_wikirank.articles	1.05GB
2026-01-15T03:58:57.230+0000	cds502_wikirank.articles	1.07GB
2026-01-15T03:59:00.230+0000	cds502_wikirank.articles	1.10GB
2026-01-15T03:59:03.230+0000	cds502_wikirank.articles	1.12GB
2026-01-15T03:59:06.232+0000	cds502_wikirank.articles	1.14GB
2026-01-15T03:59:09.230+0000	cds502_wikirank.articles	1.17GB
2026-01-15T03:59:12.230+0000	cds502_wikirank.articles	1.19GB
2026-01-15T03:59:15.230+0000	cds502_wikirank.articles	1.21GB
2026-01-15T03:59:18.230+0000	cds502_wikirank.articles	1.23GB
2026-01-15T03:59:21.231+0000	cds502_wikirank.articles	1.26GB
2026-01-15T03:59:24.230+0000	cds502_wikirank.articles	1.28GB
2026-01-15T03:59:27.230+0000	cds502_wikirank.articles	1.30GB
2026-01-15T03:59:30.230+0000	cds502_wikirank.articles	1.32GB
2026-01-15T03:59:33.230+0000	cds502_wikirank.articles	1.35GB
2026-01-15T03:59:36.230+0000	cds502_wikirank.articles	1.37GB
2026-01-15T03:59:39.230+0000	cds502_wikirank.articles	1.39GB
2026-01-15T03:59:42.230+0000	cds502_wikirank.articles	1.41GB
2026-01-15T03:59:45.230+0000	cds502_wikirank.articles	1.44GB
2026-01-15T03:59:48.230+0000	cds502_wikirank.articles	1.46GB
2026-01-15T03:59:51.230+0000	cds502_wikirank.articles	1.48GB
2026-01-15T03:59:54.230+0000	cds502_wikirank.articles	1.51GB
2026-01-15T03:59:57.230+0000	cds502_wikirank.articles	1.53GB
2026-01-15T04:00:00.230+0000	cds502_wikirank.articles	1.55GB
2026-01-15T04:00:03.230+0000	cds502_wikirank.articles	1.58GB
2026-01-15T04:00:06.230+0000	cds502_wikirank.articles	1.60GB
2026-01-15T04:00:09.230+0000	cds502_wikirank.articles	1.62GB
2026-01-15T04:00:12.230+0000	cds502_wikirank.articles	1.64GB
2026-01-15T04:00:15.231+0000	cds502_wikirank.articles	1.67GB
2026-01-15T04:00:18.230+0000	cds502_wikirank.articles	1.69GB
2026-01-15T04:00:21.230+0000	cds502_wikirank.articles	1.71GB
2026-01-15T04:00:24.232+0000	cds502_wikirank.articles	1.74GB
2026-01-15T04:00:27.231+0000	cds502_wikirank.articles	1.76GB
2026-01-15T04:00:30.230+0000	cds502_wikirank.articles	1.79GB
2026-01-15T04:00:33.230+0000	cds502_wikirank.articles	1.81GB
2026-01-15T04:00:36.230+0000	cds502_wikirank.articles	1.83GB
2026-01-15T04:00:39.230+0000	cds502_wikirank.articles	1.85GB
2026-01-15T04:00:42.231+0000	cds502_wikirank.articles	1.88GB
2026-01-15T04:00:45.230+0000	cds502_wikirank.articles	1.90GB
2026-01-15T04:00:48.230+0000	cds502_wikirank.articles	1.92GB
2026-01-15T04:00:51.230+0000	cds502_wikirank.articles	1.95GB
2026-01-15T04:00:54.230+0000	cds502_wikirank.articles	1.97GB
2026-01-15T04:00:57.230+0000	cds502_wikirank.articles	1.99GB
2026-01-15T04:01:00.230+0000	cds502_wikirank.articles	2.01GB
2026-01-15T04:01:03.230+0000	cds502_wikirank.articles	2.04GB
2026-01-15T04:01:06.230+0000	cds502_wikirank.articles	2.06GB
2026-01-15T04:01:09.234+0000	cds502_wikirank.articles	2.08GB
2026-01-15T04:01:12.230+0000	cds502_wikirank.articles	2.11GB
2026-01-15T04:01:15.230+0000	cds502_wikirank.articles	2.13GB
2026-01-15T04:01:18.231+0000	cds502_wikirank.articles	2.15GB
2026-01-15T04:01:21.230+0000	cds502_wikirank.articles	2.18GB
2026-01-15T04:01:24.230+0000	cds502_wikirank.articles	2.20GB
2026-01-15T04:01:27.230+0000	cds502_wikirank.articles	2.22GB
2026-01-15T04:01:30.230+0000	cds502_wikirank.articles	2.25GB
2026-01-15T04:01:33.230+0000	cds502_wikirank.articles	2.27GB
2026-01-15T04:01:36.230+0000	cds502_wikirank.articles	2.29GB
2026-01-15T04:01:39.232+0000	cds502_wikirank.articles	2.31GB
2026-01-15T04:01:42.230+0000	cds502_wikirank.articles	2.34GB
2026-01-15T04:01:45.230+0000	cds502_wikirank.articles	2.36GB
2026-01-15T04:01:48.231+0000	cds502_wikirank.articles	2.38GB
2026-01-15T04:01:51.230+0000	cds502_wikirank.articles	2.41GB
2026-01-15T04:01:54.232+0000	cds502_wikirank.articles	2.43GB
2026-01-15T04:01:57.230+0000	cds502_wikirank.articles	2.45GB
2026-01-15T04:02:00.230+0000	cds502_wikirank.articles	2.48GB
2026-01-15T04:02:03.230+0000	cds502_wikirank.articles	2.50GB
2026-01-15T04:02:06.230+0000	cds502_wikirank.articles	2.52GB
2026-01-15T04:02:09.230+0000	cds502_wikirank.articles	2.54GB
2026-01-15T04:02:12.230+0000	cds502_wikirank.articles	2.57GB
2026-01-15T04:02:15.232+0000	cds502_wikirank.articles	2.59GB
2026-01-15T04:02:18.230+0000	cds502_wikirank.articles	2.61GB
2026-01-15T04:02:21.230+0000	cds502_wikirank.articles	2.64GB
2026-01-15T04:02:24.230+0000	cds502_wikirank.articles	2.66GB
2026-01-15T04:02:27.230+0000	cds502_wikirank.articles	2.68GB
2026-01-15T04:02:30.231+0000	cds502_wikirank.articles	2.70GB
2026-01-15T04:02:33.230+0000	cds502_wikirank.articles	2.73GB
2026-01-15T04:02:36.230+0000	cds502_wikirank.articles	2.75GB
2026-01-15T04:02:39.230+0000	cds502_wikirank.articles	2.77GB
2026-01-15T04:02:42.230+0000	cds502_wikirank.articles	2.79GB
2026-01-15T04:02:45.231+0000	cds502_wikirank.articles	2.82GB
2026-01-15T04:02:48.231+0000	cds502_wikirank.articles	2.84GB
2026-01-15T04:02:51.230+0000	cds502_wikirank.articles	2.86GB
2026-01-15T04:02:54.230+0000	cds502_wikirank.articles	2.89GB
2026-01-15T04:02:57.231+0000	cds502_wikirank.articles	2.91GB
2026-01-15T04:03:00.230+0000	cds502_wikirank.articles	2.93GB
2026-01-15T04:03:03.230+0000	cds502_wikirank.articles	2.96GB
2026-01-15T04:03:06.230+0000	cds502_wikirank.articles	2.98GB
2026-01-15T04:03:09.230+0000	cds502_wikirank.articles	3.00GB
2026-01-15T04:03:12.230+0000	cds502_wikirank.articles	3.03GB
2026-01-15T04:03:15.230+0000	cds502_wikirank.articles	3.05GB
2026-01-15T04:03:18.230+0000	cds502_wikirank.articles	3.07GB
2026-01-15T04:03:21.230+0000	cds502_wikirank.articles	3.10GB
2026-01-15T04:03:24.230+0000	cds502_wikirank.articles	3.12GB
2026-01-15T04:03:27.230+0000	cds502_wikirank.articles	3.14GB
2026-01-15T04:03:30.230+0000	cds502_wikirank.articles	3.17GB
2026-01-15T04:03:33.230+0000	cds502_wikirank.articles	3.19GB
2026-01-15T04:03:36.230+0000	cds502_wikirank.articles	3.21GB
2026-01-15T04:03:39.230+0000	cds502_wikirank.articles	3.23GB
2026-01-15T04:03:42.230+0000	cds502_wikirank.articles	3.26GB
2026-01-15T04:03:45.230+0000	cds502_wikirank.articles	3.28GB
2026-01-15T04:03:48.230+0000	cds502_wikirank.articles	3.30GB
2026-01-15T04:03:51.230+0000	cds502_wikirank.articles	3.33GB
2026-01-15T04:03:54.230+0000	cds502_wikirank.articles	3.35GB
2026-01-15T04:03:57.230+0000	cds502_wikirank.articles	3.37GB
2026-01-15T04:04:00.230+0000	cds502_wikirank.articles	3.39GB
2026-01-15T04:04:03.230+0000	cds502_wikirank.articles	3.42GB
2026-01-15T04:04:06.230+0000	cds502_wikirank.articles	3.44GB
2026-01-15T04:04:09.230+0000	cds502_wikirank.articles	3.46GB
2026-01-15T04:04:12.232+0000	cds502_wikirank.articles	3.48GB
2026-01-15T04:04:15.230+0000	cds502_wikirank.articles	3.51GB
2026-01-15T04:04:18.230+0000	cds502_wikirank.articles	3.53GB
2026-01-15T04:04:21.230+0000	cds502_wikirank.articles	3.55GB
2026-01-15T04:04:24.230+0000	cds502_wikirank.articles	3.58GB
2026-01-15T04:04:27.230+0000	cds502_wikirank.articles	3.60GB
2026-01-15T04:04:30.230+0000	cds502_wikirank.articles	3.62GB
2026-01-15T04:04:33.230+0000	cds502_wikirank.articles	3.64GB
2026-01-15T04:04:36.230+0000	cds502_wikirank.articles	3.67GB
2026-01-15T04:04:39.230+0000	cds502_wikirank.articles	3.69GB
2026-01-15T04:04:42.230+0000	cds502_wikirank.articles	3.71GB
2026-01-15T04:04:45.230+0000	cds502_wikirank.articles	3.74GB
2026-01-15T04:04:48.230+0000	cds502_wikirank.articles	3.76GB
2026-01-15T04:04:51.230+0000	cds502_wikirank.articles	3.78GB
2026-01-15T04:04:54.230+0000	cds502_wikirank.articles	3.81GB
2026-01-15T04:04:57.230+0000	cds502_wikirank.articles	3.83GB
2026-01-15T04:05:00.230+0000	cds502_wikirank.articles	3.85GB
2026-01-15T04:05:03.230+0000	cds502_wikirank.articles	3.88GB
2026-01-15T04:05:06.230+0000	cds502_wikirank.articles	3.90GB
2026-01-15T04:05:09.230+0000	cds502_wikirank.articles	3.92GB
2026-01-15T04:05:12.231+0000	cds502_wikirank.articles	3.94GB
2026-01-15T04:05:15.230+0000	cds502_wikirank.articles	3.97GB
2026-01-15T04:05:18.230+0000	cds502_wikirank.articles	3.99GB
2026-01-15T04:05:21.230+0000	cds502_wikirank.articles	4.01GB
2026-01-15T04:05:24.230+0000	cds502_wikirank.articles	4.03GB
2026-01-15T04:05:27.230+0000	cds502_wikirank.articles	4.06GB
2026-01-15T04:05:30.230+0000	cds502_wikirank.articles	4.08GB
2026-01-15T04:05:33.230+0000	cds502_wikirank.articles	4.10GB
2026-01-15T04:05:36.230+0000	cds502_wikirank.articles	4.13GB
2026-01-15T04:05:39.230+0000	cds502_wikirank.articles	4.15GB
2026-01-15T04:05:42.232+0000	cds502_wikirank.articles	4.17GB
2026-01-15T04:05:45.231+0000	cds502_wikirank.articles	4.19GB
2026-01-15T04:05:48.230+0000	cds502_wikirank.articles	4.22GB
2026-01-15T04:05:51.230+0000	cds502_wikirank.articles	4.24GB
2026-01-15T04:05:54.237+0000	cds502_wikirank.articles	4.26GB
2026-01-15T04:05:57.230+0000	cds502_wikirank.articles	4.28GB
2026-01-15T04:06:00.230+0000	cds502_wikirank.articles	4.31GB
2026-01-15T04:06:03.230+0000	cds502_wikirank.articles	4.33GB
2026-01-15T04:06:06.230+0000	cds502_wikirank.articles	4.35GB
2026-01-15T04:06:09.230+0000	cds502_wikirank.articles	4.38GB
2026-01-15T04:06:12.230+0000	cds502_wikirank.articles	4.40GB
2026-01-15T04:06:15.232+0000	cds502_wikirank.articles	4.42GB
2026-01-15T04:06:18.230+0000	cds502_wikirank.articles	4.44GB
2026-01-15T04:06:21.230+0000	cds502_wikirank.articles	4.47GB
2026-01-15T04:06:24.230+0000	cds502_wikirank.articles	4.49GB
2026-01-15T04:06:27.230+0000	cds502_wikirank.articles	4.51GB
2026-01-15T04:06:30.231+0000	cds502_wikirank.articles	4.54GB
2026-01-15T04:06:33.230+0000	cds502_wikirank.articles	4.56GB
2026-01-15T04:06:36.230+0000	cds502_wikirank.articles	4.58GB
2026-01-15T04:06:39.230+0000	cds502_wikirank.articles	4.60GB
2026-01-15T04:06:42.230+0000	cds502_wikirank.articles	4.63GB
2026-01-15T04:06:45.230+0000	cds502_wikirank.articles	4.65GB
2026-01-15T04:06:48.230+0000	cds502_wikirank.articles	4.67GB
2026-01-15T04:06:51.230+0000	cds502_wikirank.articles	4.70GB
2026-01-15T04:06:54.230+0000	cds502_wikirank.articles	4.72GB
2026-01-15T04:06:57.230+0000	cds502_wikirank.articles	4.74GB
2026-01-15T04:07:00.230+0000	cds502_wikirank.articles	4.77GB
2026-01-15T04:07:03.230+0000	cds502_wikirank.articles	4.79GB
2026-01-15T04:07:06.230+0000	cds502_wikirank.articles	4.81GB
2026-01-15T04:07:09.233+0000	cds502_wikirank.articles	4.83GB
2026-01-15T04:07:12.230+0000	cds502_wikirank.articles	4.86GB
2026-01-15T04:07:15.230+0000	cds502_wikirank.articles	4.88GB
2026-01-15T04:07:18.230+0000	cds502_wikirank.articles	4.91GB
2026-01-15T04:07:21.230+0000	cds502_wikirank.articles	4.93GB
2026-01-15T04:07:24.230+0000	cds502_wikirank.articles	4.96GB
2026-01-15T04:07:27.230+0000	cds502_wikirank.articles	4.98GB
2026-01-15T04:07:30.230+0000	cds502_wikirank.articles	5.01GB
2026-01-15T04:07:33.231+0000	cds502_wikirank.articles	5.03GB
2026-01-15T04:07:36.230+0000	cds502_wikirank.articles	5.06GB
2026-01-15T04:07:39.230+0000	cds502_wikirank.articles	5.08GB
2026-01-15T04:07:42.231+0000	cds502_wikirank.articles	5.11GB
2026-01-15T04:07:45.230+0000	cds502_wikirank.articles	5.13GB
2026-01-15T04:07:48.230+0000	cds502_wikirank.articles	5.16GB
2026-01-15T04:07:51.230+0000	cds502_wikirank.articles	5.18GB
2026-01-15T04:07:54.231+0000	cds502_wikirank.articles	5.21GB
2026-01-15T04:07:57.231+0000	cds502_wikirank.articles	5.23GB
2026-01-15T04:08:00.230+0000	cds502_wikirank.articles	5.25GB
2026-01-15T04:08:03.230+0000	cds502_wikirank.articles	5.28GB
2026-01-15T04:08:06.230+0000	cds502_wikirank.articles	5.30GB
2026-01-15T04:08:09.230+0000	cds502_wikirank.articles	5.32GB
2026-01-15T04:08:12.230+0000	cds502_wikirank.articles	5.35GB
2026-01-15T04:08:15.231+0000	cds502_wikirank.articles	5.37GB
2026-01-15T04:08:18.230+0000	cds502_wikirank.articles	5.39GB
2026-01-15T04:08:21.230+0000	cds502_wikirank.articles	5.42GB
2026-01-15T04:08:24.231+0000	cds502_wikirank.articles	5.45GB
2026-01-15T04:08:27.230+0000	cds502_wikirank.articles	5.47GB
2026-01-15T04:08:30.231+0000	cds502_wikirank.articles	5.49GB
2026-01-15T04:08:33.230+0000	cds502_wikirank.articles	5.51GB
2026-01-15T04:08:36.230+0000	cds502_wikirank.articles	5.54GB
2026-01-15T04:08:39.230+0000	cds502_wikirank.articles	5.56GB
2026-01-15T04:08:42.230+0000	cds502_wikirank.articles	5.59GB
2026-01-15T04:08:45.230+0000	cds502_wikirank.articles	5.61GB
2026-01-15T04:08:48.230+0000	cds502_wikirank.articles	5.63GB
2026-01-15T04:08:51.230+0000	cds502_wikirank.articles	5.66GB
2026-01-15T04:08:54.230+0000	cds502_wikirank.articles	5.68GB
2026-01-15T04:08:57.231+0000	cds502_wikirank.articles	5.71GB
2026-01-15T04:09:00.230+0000	cds502_wikirank.articles	5.73GB
2026-01-15T04:09:03.230+0000	cds502_wikirank.articles	5.75GB
2026-01-15T04:09:06.230+0000	cds502_wikirank.articles	5.77GB
2026-01-15T04:09:09.230+0000	cds502_wikirank.articles	5.80GB
2026-01-15T04:09:12.230+0000	cds502_wikirank.articles	5.83GB
2026-01-15T04:09:15.230+0000	cds502_wikirank.articles	5.85GB
2026-01-15T04:09:18.230+0000	cds502_wikirank.articles	5.87GB
2026-01-15T04:09:21.230+0000	cds502_wikirank.articles	5.90GB
2026-01-15T04:09:24.230+0000	cds502_wikirank.articles	5.92GB
2026-01-15T04:09:27.230+0000	cds502_wikirank.articles	5.94GB
2026-01-15T04:09:30.230+0000	cds502_wikirank.articles	5.97GB
2026-01-15T04:09:33.230+0000	cds502_wikirank.articles	5.99GB
2026-01-15T04:09:36.230+0000	cds502_wikirank.articles	6.02GB
2026-01-15T04:09:39.230+0000	cds502_wikirank.articles	6.04GB
2026-01-15T04:09:42.231+0000	cds502_wikirank.articles	6.07GB
2026-01-15T04:09:45.231+0000	cds502_wikirank.articles	6.09GB
2026-01-15T04:09:48.230+0000	cds502_wikirank.articles	6.12GB
2026-01-15T04:09:51.230+0000	cds502_wikirank.articles	6.14GB
2026-01-15T04:09:54.230+0000	cds502_wikirank.articles	6.16GB
2026-01-15T04:09:57.230+0000	cds502_wikirank.articles	6.19GB
2026-01-15T04:10:00.230+0000	cds502_wikirank.articles	6.21GB
2026-01-15T04:10:03.230+0000	cds502_wikirank.articles	6.23GB
2026-01-15T04:10:06.230+0000	cds502_wikirank.articles	6.25GB
2026-01-15T04:10:09.230+0000	cds502_wikirank.articles	6.28GB
2026-01-15T04:10:12.230+0000	cds502_wikirank.articles	6.30GB
2026-01-15T04:10:15.230+0000	cds502_wikirank.articles	6.32GB
2026-01-15T04:10:18.230+0000	cds502_wikirank.articles	6.34GB
2026-01-15T04:10:21.230+0000	cds502_wikirank.articles	6.37GB
2026-01-15T04:10:24.230+0000	cds502_wikirank.articles	6.39GB
2026-01-15T04:10:27.231+0000	cds502_wikirank.articles	6.41GB
2026-01-15T04:10:30.230+0000	cds502_wikirank.articles	6.44GB
2026-01-15T04:10:33.230+0000	cds502_wikirank.articles	6.46GB
2026-01-15T04:10:36.230+0000	cds502_wikirank.articles	6.48GB
2026-01-15T04:10:39.230+0000	cds502_wikirank.articles	6.50GB
2026-01-15T04:10:42.230+0000	cds502_wikirank.articles	6.52GB
2026-01-15T04:10:45.231+0000	cds502_wikirank.articles	6.55GB
2026-01-15T04:10:48.230+0000	cds502_wikirank.articles	6.57GB
2026-01-15T04:10:51.231+0000	cds502_wikirank.articles	6.59GB
2026-01-15T04:10:54.231+0000	cds502_wikirank.articles	6.61GB
2026-01-15T04:10:57.230+0000	cds502_wikirank.articles	6.64GB
2026-01-15T04:11:00.208+0000	cds502_wikirank.articles	6.66GB
2026-01-15T04:11:00.208+0000	47019854 document(s) imported successfully. 0 document(s) failed to import.
mongoimport_seconds=861.05
